Date,Open,Hi,Lo,Close,A. Close,Volume
1/4/10,7.6225,7.660714,7.585,7.643214,6.553025,493729600
1/5/10,7.664286,7.699643,7.616071,7.656429,6.564355,601904800
1/6/10,7.656429,7.686786,7.526786,7.534643,6.459939,552160000
1/7/10,7.5625,7.571429,7.466071,7.520714,6.447999,477131200
1/8/10,7.510714,7.571429,7.466429,7.570714,6.490865,447610800
1/11/10,7.6,7.607143,7.444643,7.503929,6.433607,462229600
1/12/10,7.471071,7.491786,7.372143,7.418571,6.360425,594459600
1/13/10,7.423929,7.533214,7.289286,7.523214,6.450142,605892000
1/14/10,7.503929,7.516429,7.465,7.479643,6.412785,432894000
1/15/10,7.533214,7.557143,7.3525,7.354643,6.305614,594067600
1/19/10,7.440357,7.685357,7.401429,7.68,6.584566,730007600
1/20/10,7.675357,7.698214,7.482143,7.561786,6.483211,612152800
1/21/10,7.574286,7.618214,7.400357,7.431071,6.37114,608154400
1/22/10,7.385,7.410714,7.041429,7.0625,6.05514,881767600
1/25/10,7.2325,7.310714,7.149643,7.2525,6.21804,1065699600
1/26/10,7.355357,7.6325,7.235,7.355,6.305922,1867110000
1/27/10,7.3875,7.520714,7.126071,7.424286,6.365323,1722568400
1/28/10,7.318929,7.339286,7.096429,7.1175,6.102295,1173502400
1/29/10,7.181429,7.221429,6.794643,6.859286,5.880912,1245952400
2/1/10,6.870357,7,6.832143,6.954643,5.962669,749876400
2/2/10,6.996786,7.011429,6.906429,6.995,5.99727,698342400
2/3/10,6.970357,7.15,6.943571,7.115357,6.100459,615328000
2/4/10,7.026071,7.084643,6.841786,6.858929,5.880607,757652000
2/5/10,6.879643,7,6.816071,6.980714,5.985021,850306800
2/8/10,6.988929,7.067143,6.928571,6.932857,5.943989,478270800
2/9/10,7.015,7.053571,6.955357,7.006786,6.007374,632886800
2/10/10,6.996071,7.021429,6.937857,6.968571,5.97461,370361600
2/11/10,6.96,7.133929,6.930714,7.095357,6.083312,550345600
2/12/10,7.075357,7.201429,6.982143,7.156429,6.135673,655468800
2/16/10,7.212143,7.274643,7.197143,7.264286,6.228145,543737600
2/17/10,7.2925,7.296786,7.173571,7.233929,6.202118,436396800
2/18/10,7.201071,7.281786,7.175714,7.2475,6.213755,422825200
2/19/10,7.209286,7.257143,7.1825,7.2025,6.175173,415469600
2/22/10,7.226429,7.232143,7.113929,7.157857,6.136898,390563600
2/23/10,7.142857,7.190357,6.989643,7.037857,6.034012,575094800
2/24/10,7.079643,7.194286,7.065714,7.166429,6.144247,460566400
2/25/10,7.049286,7.245,7.031786,7.214286,6.185277,665126000
2/26/10,7.227857,7.3275,7.214286,7.307857,6.265501,507460800
3/1/10,7.348214,7.482143,7.3375,7.463929,6.399312,550093600
3/2/10,7.4975,7.529643,7.419286,7.458929,6.395025,566546400
3/3/10,7.462143,7.495357,7.426429,7.476071,6.409722,372052800
3/4/10,7.474286,7.532857,7.451071,7.525357,6.451978,366041200
3/5/10,7.676429,7.846429,7.665357,7.819643,6.70429,899620400
3/8/10,7.8575,7.860357,7.794643,7.824286,6.70827,429889600
3/9/10,7.796786,8.035714,7.781786,7.965,6.828912,920259200
3/10/10,7.993929,8.052857,7.971429,8.03,6.884641,596218000
3/11/10,7.996786,8.053571,7.975714,8.053571,6.904851,405700400
3/12/10,8.120357,8.133214,8.0625,8.092857,6.938533,416323600
3/15/10,8.049286,8.053571,7.866071,7.994286,6.854021,493502800
3/16/10,8.006429,8.035,7.946786,8.016071,6.872699,446908000
3/17/10,8.032143,8.0875,7.973929,8.004286,6.862596,450956800
3/18/10,8.003571,8.035714,7.950357,8.023214,6.878823,342109600
3/19/10,8.028214,8.044286,7.901071,7.9375,6.805336,559445600
3/22/10,7.873929,8.071429,7.8625,8.026786,6.881886,456419600
3/23/10,8.058571,8.170714,8.003571,8.155714,6.992426,602431200
3/24/10,8.13,8.221429,8.125357,8.191786,7.023351,597780400
3/25/10,8.247143,8.248929,8.080357,8.094643,6.940064,542284400
3/26/10,8.176786,8.283929,8.1625,8.246429,7.0702,640875200
3/29/10,8.321429,8.3525,8.272143,8.299643,7.115823,540744400
3/30/10,8.45,8.481429,8.366071,8.423214,7.221768,527310000
3/31/10,8.410357,8.450357,8.373571,8.392857,7.195742,430659600
4/1/10,8.478929,8.526071,8.3125,8.4275,7.225445,603145200
4/5/10,8.392143,8.518214,8.384643,8.5175,7.302605,684507600
4/6/10,8.507143,8.58,8.464286,8.555,7.33476,447017200
4/7/10,8.555357,8.64,8.523571,8.592857,7.367217,628502000
4/8/10,8.587143,8.626429,8.501429,8.569643,7.347311,572989200
4/9/10,8.6225,8.638929,8.587857,8.635357,7.403657,334182800
4/12/10,8.65,8.681071,8.636071,8.653214,7.418966,333026400
4/13/10,8.637857,8.671429,8.611071,8.658214,7.423251,306210800
4/14/10,8.76,8.778929,8.716786,8.774643,7.523072,404076400
4/15/10,8.777857,8.893929,8.768214,8.89,7.621977,376784800
4/16/10,8.8775,8.969286,8.733929,8.835714,7.575433,750545600
4/19/10,8.8225,8.853214,8.634643,8.823929,7.565329,566924400
4/20/10,8.876429,8.901786,8.677143,8.735357,7.48939,738326400
4/21/10,9.242857,9.294643,9.133214,9.257857,7.937365,982391200
4/22/10,9.222857,9.526786,9.15,9.516786,8.159359,793424800
4/23/10,9.571071,9.720714,9.535714,9.6725,8.292865,796955600
4/26/10,9.71,9.730714,9.578214,9.625,8.252141,479068800
4/27/10,9.545357,9.565714,9.304286,9.358571,8.023711,709343600
4/28/10,9.401786,9.428571,9.1575,9.342857,8.010238,758402400
4/29/10,9.393571,9.642857,9.3575,9.594286,8.225807,558840800
4/30/10,9.618214,9.663214,9.321429,9.324643,7.994622,542463600
5/3/10,9.422857,9.567143,9.388571,9.5125,8.155684,454342000
5/4/10,9.388929,9.403214,9.169643,9.238571,7.92083,723819600
5/5/10,9.036786,9.219286,8.883214,9.1425,7.83846,883103200
5/6/10,9.065357,9.223214,7.116071,8.794643,7.54022,1285860800
5/7/10,8.703929,8.806071,8.043214,8.423571,7.222076,1676018400
5/10/10,8.9375,9.094643,8.876071,9.071071,7.777222,984306400
5/11/10,8.994286,9.281786,8.946429,9.161429,7.854689,848906800
5/12/10,9.258571,9.3975,9.239286,9.360357,8.025244,654379600
5/13/10,9.400714,9.464286,9.157143,9.227143,7.91103,599712400
5/14/10,9.112857,9.16,8.910714,9.065,7.772016,759362800
5/17/10,9.096429,9.149286,8.846786,9.079286,7.784264,762834800
5/18/10,9.177857,9.233929,8.937857,9.012857,7.727309,782678400
5/19/10,8.910714,9.032857,8.744643,8.869286,7.604215,1025726800
5/20/10,8.638571,8.708929,8.436071,8.491429,7.280255,1282915200
5/21/10,8.315,8.732143,8.2625,8.654286,7.419883,1223891200
5/24/10,8.831429,8.960714,8.795,8.812857,7.555838,754238800
5/25/10,8.548214,8.812857,8.47,8.757857,7.508681,1048006400
5/26/10,8.931429,9.004643,8.705357,8.718214,7.474692,850654000
5/27/10,8.95,9.0675,8.896786,9.048214,7.757624,666282400
5/28/10,9.263929,9.264286,9.048214,9.174286,7.865712,815614800
6/1/10,9.274643,9.497857,9.248571,9.315357,7.986662,876472800
6/2/10,9.447857,9.457143,9.2975,9.426786,8.082197,688548000
6/3/10,9.470714,9.483929,9.300357,9.397143,8.056783,650106800
6/4/10,9.221786,9.353571,9.093929,9.141429,7.837541,758304400
6/7/10,9.224643,9.255357,8.948214,8.962143,7.683828,886942000
6/8/10,9.044286,9.064286,8.773214,8.904643,7.63453,1000770400
6/9/10,8.981071,8.996429,8.660357,8.685714,7.446827,854630000
6/10/10,8.744286,8.963571,8.65,8.946786,7.67066,776356000
6/11/10,8.865357,9.066429,8.834643,9.053929,7.762524,545759200
