,Species,Height,weight,Habitat,Diet,Special Trait,Lifespan,Reproduction Rate
0,Obezuru,2.02,64.99,High Gravity Plains,Photosynthesis,Cold-Resistant,84,9.85
1,Cvemoso,2.12,34.65,Underground Caves,Chemovore,Radiation-Resistant,46,4.22
2,Ymadib,2.76,635.32,Methane Oceans,Chemovore,Underground Burrowing,19,3.69
3,Skida,4.06,670.75,Zero Gravity Sky,Photosynthesis,Multiplying,17,7.23
4,Jwibt,3.99,962.34,Zero Gravity Sky,Mineralvore,Flying,3,2.86
5,Byivok,4.34,964.51,Volcanic Mountains,Omnivore,Multiplying,52,8.34
6,Grisq,0.78,276.32,Volcanic Mountains,Omnivore,Underground Burrowing,59,1.11
7,Mvumagic,1.66,649.64,Gas Swamps,Photosynthesis,Shapeshifting,38,3.83
8,Lbilawi,1.33,653.49,Lush Forests,Omnivore,Radiation-Resistant,58,7.64
9,Zbelub,1.66,203.55,Gas Swamps,Herbivore,Telepathic,63,6.86
10,Rzukh,2.24,479.46,Frozen Tundra,Photosynthesis,Shapeshifting,30,9.1
11,Qvine,4.66,456.04,Desert Plains,Carnivore,Teleporting,56,6.42
12,Yhuwayh,3.02,807.2,Frozen Tundra,Omnivore,Camouflaging,73,8.13
13,Ggudadu,0.6,349.08,Frozen Tundra,Photosynthesis,Telepathic,29,2.66
14,Zbeyud,4.87,867.26,Underground Caves,Mineralvore,Underground Burrowing,76,5.04
15,Aqulatay,4.86,814.07,Underground Caves,Chemovore,Teleporting,94,1.48
16,Opadad,0.89,259.07,Lush Forests,Chemovore,Camouflaging,21,6.65
17,Nbuluxi,2.96,741.13,Desert Plains,Herbivore,Teleporting,39,1.75
18,Opiluck,3.92,156.34,Underground Caves,Chemovore,Bioluminescent,25,1.65
19,Rpulinov,0.99,7.85,Zero Gravity Sky,Chemovore,Teleporting,37,7.89
20,Lgezr,3.1,798.37,High Gravity Plains,Herbivore,Flying,35,1.04
21,Fyorig,2.78,626.53,Zero Gravity Sky,Omnivore,Radiation-Resistant,28,8.89
22,Urobih,3.04,804.06,Methane Oceans,Omnivore,Shapeshifting,54,4.86
23,Ihason,2.2,156.27,Gas Swamps,Carnivore,Telepathic,54,6.29
24,Jyehe,0.38,757.49,Zero Gravity Sky,Carnivore,Underground Burrowing,82,3.33
25,Pcuja,5.0,311.18,Frozen Tundra,Carnivore,Amphibious,16,9.65
26,Bkagudum,1.05,124.67,Underground Caves,Carnivore,Shapeshifting,28,3.7
27,Fkapufag,2.78,312.69,Methane Oceans,Chemovore,Multiplying,68,4.23
28,Ctavm,4.24,530.33,Volcanic Mountains,Carnivore,Aquatic,85,6.86
29,Dbuvu,2.43,468.63,Volcanic Mountains,Herbivore,Telepathic,51,2.06
30,Fkehehah,1.63,753.45,Gas Swamps,Herbivore,Underground Burrowing,19,2.34
31,Vsodanl,0.99,43.6,Volcanic Mountains,Chemovore,Shapeshifting,9,9.45
32,Enuzagib,1.78,376.81,Underground Caves,Photosynthesis,Underground Burrowing,6,7.95
33,Vzozoh,1.9,898.06,Zero Gravity Sky,Omnivore,Bioluminescent,78,7.9
34,Enuwopub,0.95,201.97,Zero Gravity Sky,Mineralvore,Telepathic,57,9.68
35,Kxeqo,4.53,41.91,High Gravity Plains,Photosynthesis,Telepathic,94,2.39
36,Tbukez,1.33,310.5,Desert Plains,Chemovore,Amphibious,93,5.15
37,Nbonilov,1.66,44.25,Lush Forests,Carnivore,Camouflaging,21,4.32
38,Hyademp,3.87,130.07,Frozen Tundra,Carnivore,Underground Burrowing,30,2.19
39,Phoxocog,3.81,651.78,Lush Forests,Omnivore,Flying,80,1.3
40,Umawukeh,0.62,688.48,High Gravity Plains,Herbivore,Underground Burrowing,14,9.03
41,Jbuci,4.44,985.95,Volcanic Mountains,Omnivore,Bioluminescent,5,8.64
42,Cvojoceh,2.24,406.95,Zero Gravity Sky,Carnivore,Flying,90,6.52
43,Squbx,2.17,75.69,Zero Gravity Sky,Herbivore,Underground Burrowing,79,1.91
44,Cvetud,2.2,674.62,Gas Swamps,Herbivore,Underground Burrowing,30,2.53
45,Yfoxop,1.21,840.03,High Gravity Plains,Herbivore,Flying,42,8.29
46,Dpagakuz,2.14,519.18,Lush Forests,Chemovore,Fire-Resistant,46,4.35
47,Ryupa,0.54,871.64,Zero Gravity Sky,Photosynthesis,Bioluminescent,9,1.93
48,Omopah,0.27,431.3,Zero Gravity Sky,Herbivore,Amphibious,80,3.51
49,Txinisi,2.09,157.98,Lush Forests,Chemovore,Camouflaging,16,8.19
