Days,Date,High,Low
1,2021-01-01,36,32
2,2021-01-02,38,32
3,2021-01-03,41,34
4,2021-01-04,46,38
5,2021-01-05,51,40
6,2021-01-06,52,38
7,2021-01-07,49,39
8,2021-01-08,53,42
9,2021-01-09,54,38
10,2021-01-10,47,32
11,2021-01-11,36,29
12,2021-01-12,36,28
13,2021-01-13,39,31
14,2021-01-14,48,42
15,2021-01-15,56,42
16,2021-01-16,53,46
17,2021-01-17,58,44
18,2021-01-18,59,46
19,2021-01-19,58,49
20,2021-01-20,48,40
21,2021-01-21,44,42
22,2021-01-22,43,40
23,2021-01-23,43,40
24,2021-01-24,44,41
25,2021-01-25,31,32
26,2021-01-26,30,29
27,2021-01-27,18,23
28,2021-01-28,31,31
29,2021-01-29,40,41
30,2021-01-30,47,34
31,2021-01-31,40,37
32,2021-02-01,49,43
33,2021-02-02,50,48
34,2021-02-03,54,50
35,2021-02-04,60,47
36,2021-02-05,53,36
37,2021-02-06,47,35
38,2021-02-07,51,39
39,2021-02-08,56,42
40,2021-02-09,56,43
41,2021-02-10,57,43
42,2021-02-11,48,41
43,2021-02-12,51,43
44,2021-02-13,51,36
45,2021-02-14,48,40
46,2021-02-15,38,31
47,2021-02-16,41,38
48,2021-02-17,39,34
49,2021-02-18,39,28
50,2021-02-19,36,34
51,2021-02-20,52,46
52,2021-02-21,60,36
53,2021-02-22,44,39
54,2021-02-23,56,43
55,2021-02-24,61,43
56,2021-02-25,58,40
57,2021-02-26,58,40
58,2021-02-27,51,38
59,2021-02-28,52,35
60,2021-03-01,40,29
61,2021-03-02,44,31
62,2021-03-03,54,47
63,2021-03-04,59,39
64,2021-03-05,46,36
65,2021-03-06,56,47
66,2021-03-07,58,34
67,2021-03-08,62,57
68,2021-03-09,60,58
69,2021-03-10,53,40
70,2021-03-11,51,36
71,2021-03-12,51,37
72,2021-03-13,49,32
73,2021-03-14,31,31
74,2021-03-15,43,38
75,2021-03-16,52,44
76,2021-03-17,37,28
77,2021-03-18,52,42
78,2021-03-19,62,49
79,2021-03-20,63,42
80,2021-03-21,65,54
81,2021-03-22,58,41
82,2021-03-23,44,39
83,2021-03-24,50,37
84,2021-03-25,35,35
85,2021-03-26,41,38
86,2021-03-27,47,36
87,2021-03-28,47,43
88,2021-03-29,58,50
89,2021-03-30,64,51
90,2021-03-31,63,49
91,2021-04-01,64,51
92,2021-04-02,64,57
93,2021-04-03,68,54
94,2021-04-04,69,57
95,2021-04-05,72,58
96,2021-04-06,72,61
97,2021-04-07,66,51
98,2021-04-08,66,55
99,2021-04-09,70,53
100,2021-04-10,67,54
101,2021-04-11,69,55
102,2021-04-12,68,61
103,2021-04-13,68,59
104,2021-04-14,67,57
105,2021-04-15,65,52
106,2021-04-16,61,51
107,2021-04-17,56,49
108,2021-04-18,61,47
109,2021-04-19,55,45
110,2021-04-20,59,50
111,2021-04-21,67,56
112,2021-04-22,64,54
113,2021-04-23,61,42
114,2021-04-24,57,50
115,2021-04-25,68,55
116,2021-04-26,71,58
117,2021-04-27,62,49
118,2021-04-28,51,42
119,2021-04-29,44,36
120,2021-04-30,56,49
121,2021-05-01,62,53
122,2021-05-02,70,61
123,2021-05-03,70,54
124,2021-05-04,63,53
125,2021-05-05,68,57
