Complexity,Feedback,Resources,MimicHumanThought,SelfAwareness
10.2,1,500,1,0
12.4,0,700,0,0
8.7,1,300,1,0
9.9,0,600,0,0
11.1,1,800,1,1
6.5,0,200,0,0
13.2,1,1000,1,1
7.8,0,400,0,0
14.5,1,1200,1,1
10.1,0,550,0,0
12.6,1,950,1,1
9.2,0,350,0,0
11.8,1,1100,1,1
8.3,0,450,0,0
10.7,1,650,1,1
6.9,0,250,0,0
13.9,1,1350,1,1
7.4,0,150,0,0
15.1,1,1500,1,1
9.6,0,500,0,0
11.4,1,750,1,1
8.1,0,250,0,0
12.1,1,850,1,1
7.6,0,350,0,0
9.8,1,450,1,0
14.2,0,1250,0,1
12.5,1,900,1,1
10.5,0,550,0,0
8.9,1,400,1,0
11.3,0,700,0,0
13.1,1,1000,1,1
9.3,0,400,0,0
7.5,1,200,1,0
10.9,0,600,0,0
12.9,1,1150,1,1
6.7,0,150,0,0
8.5,1,300,1,0
11.7,0,800,0,0
14.3,1,1300,1,1
9.7,0,500,0,0
7.2,1,250,1,0
15.5,0,1550,0,1
12.3,1,950,1,1
10.3,0,500,0,0
8.6,1,350,1,0
11.2,0,650,0,0
13.4,1,1200,1,1
9.1,0,300,0,0
7.9,1,150,1,0
10.4,0,450,0,0
