Index,Height(Inches),Weight(Pounds),Height(cm),Weight(kilos)
1,66,113,167,51
2,72,136,182,62
3,69,153,176,69
4,68,142,173,65
5,68,144,172,65
6,69,123,174,56
7,70,141,177,64
8,70,136,178,62
9,68,112,172,51
10,67,121,170,55
11,66,127,169,58
12,68,114,172,52
13,68,126,173,57
14,67,122,170,56
15,68,116,173,53
16,71,140,181,64
17,66,130,169,59
18,69,143,174,65
19,71,138,181,63
20,67,124,171,56
21,68,141,172,64
22,69,144,175,65
23,63,98,161,44
24,68,130,174,59
25,68,142,172,64
26,67,130,171,59
27,71,142,180,65
28,67,132,171,60
29,67,108,169,49
30,65,114,166,52
31,70,103,177,47
32,66,121,167,55
33,68,126,172,57
34,71,136,179,62
35,72,140,182,64
36,69,129,176,58
37,67,142,170,64
38,68,121,172,55
39,68,131,172,60
40,64,107,163,48
41,69,124,174,56
42,65,125,166,57
43,70,140,177,63
44,68,137,173,62
45,66,106,168,48
46,69,129,174,58
47,67,146,170,66
48,68,117,172,53
49,70,144,177,65
50,69,135,175,61
51,70,147,178,67
52,67,126,171,57
53,70,125,178,57
54,69,116,176,52
55,65,123,166,56
56,70,148,178,67
57,70,156,179,71
58,67,128,169,58
59,66,119,169,54
60,68,134,172,61
61,67,129,169,58
62,69,138,175,62
63,68,130,173,59
64,67,129,170,58
65,71,135,180,61
66,68,110,173,50
67,69,142,175,65
68,68,133,172,60
69,67,104,171,47
70,67,125,171,57
71,65,129,166,59
72,71,134,180,61
73,70,140,178,64
74,64,103,163,47
75,68,129,173,58
76,66,120,169,55
77,68,139,174,63
78,65,133,166,60
79,70,116,177,52
80,68,123,172,56
81,69,135,174,61
82,67,122,170,55
83,70,155,178,70
84,66,129,168,58
85,69,129,176,59
86,69,139,176,63
87,67,141,171,64
88,70,132,178,60
89,70,121,178,55
90,68,132,173,60
91,68,137,173,62
92,70,141,178,64
93,71,141,182,64
94,69,112,176,51
95,70,133,178,61
96,71,132,179,60
97,66,120,168,54
98,63,123,161,56
99,67,128,170,58
100,69,115,175,52
101,65,102,165,46
102,67,130,170,59
103,68,134,174,61
104,66,99,167,45
105,68,115,172,52
106,68,123,173,56
107,68,123,172,56
108,66,126,168,57
109,69,128,176,58
110,64,127,162,58
111,68,122,172,55
112,70,128,178,58
113,70,132,178,60
114,66,112,168,51
115,70,122,178,55
116,69,129,174,58
117,69,133,175,60
118,70,136,177,62
119,65,116,166,53
120,69,137,175,62
121,66,120,167,54
122,67,109,171,49
123,69,128,176,58
124,69,135,175,61
125,68,107,173,48
126,66,123,167,56
127,66,110,169,50
128,68,119,173,54
129,69,140,175,64
130,70,134,178,61
131,68,133,173,60
132,71,131,181,59
133,69,116,176,52
134,64,124,164,56
135,71,128,181,58
136,68,136,173,62
137,66,117,167,53
138,67,127,171,58
139,74,151,188,69
140,70,130,178,59
141,70,136,177,62
142,65,113,166,51
143,68,125,173,57
144,68,128,174,58
145,65,107,166,49
146,68,116,173,53
147,69,134,174,61
148,64,113,164,51
149,69,131,175,59
150,69,138,175,62
151,70,125,177,57
152,67,138,171,63
153,66,121,169,55
154,66,140,168,64
155,72,137,184,62
156,64,106,163,48
157,71,159,180,72
158,68,109,171,49
159,72,139,183,63
160,65,116,166,53
161,67,146,170,66
162,64,110,164,50
163,69,139,176,63
164,68,120,174,54
165,65,128,166,58
166,67,127,171,58
167,68,115,174,52
168,66,125,168,57
169,67,127,171,58
170,66,111,168,50
171,69,123,176,56
172,68,124,173,56
173,68,125,172,57
174,65,120,166,54
175,74,139,188,63
176,67,105,170,48
177,67,123,170,56
178,66,119,167,54
179,66,121,168,55
180,67,119,169,54
181,67,135,170,61
182,66,116,167,53
183,67,109,170,50
184,69,124,175,56
185,66,141,168,64
186,66,129,168,59
187,69,128,174,58
188,67,121,169,55
189,67,128,170,58
190,68,101,173,46
191,70,145,178,66
192,66,111,166,50
193,67,133,171,60
194,67,146,171,66
195,70,146,177,66
196,66,121,167,55
197,66,116,168,53
198,68,128,173,58
199,68,127,173,58
200,71,128,181,58
201,66,121,167,55
202,66,113,169,51
203,70,135,178,61
204,69,129,176,58
205,69,124,174,56
206,68,140,174,64
207,68,118,174,53
208,69,144,175,65
209,70,141,178,64
210,72,156,182,71
211,68,134,174,61
212,67,130,169,59
213,67,106,169,48
214,68,112,173,51
215,69,136,175,62
216,67,131,171,60
217,70,131,177,60
218,68,120,172,54
219,69,117,175,53
220,68,139,173,63
221,66,110,167,50
222,66,130,167,59
223,71,137,181,62
224,68,114,172,52
225,65,115,165,52
226,70,128,177,58
227,70,122,178,55
228,66,118,168,54
229,69,128,174,58
230,69,118,175,54
231,67,125,170,57
232,68,141,173,64
233,70,145,177,66
234,72,116,182,53
235,73,136,185,62
236,67,133,171,60
237,67,116,171,52
238,69,114,174,52
239,68,149,174,68
240,69,142,174,64
241,64,134,162,61
242,68,142,172,64
243,69,139,176,63
244,67,134,169,61
245,65,117,166,53
246,70,116,178,52
247,70,135,177,61
248,65,121,166,55
249,68,120,174,54
250,66,84,167,38
251,70,139,178,63
252,66,144,168,65
253,68,123,173,56
254,65,116,166,52
